rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss
826,6020.51,1030.7052523099999,265827,8458240,31,-0.0026295012241462244,8250,0.014290452003479004,45.3785082218051,0.0051106517,0.035869140625,7.647275447845459,-0.6672410552203655,0.2,5.250000000000001e-05
827,6016.87,1030.79640122,265981,8468480,31,-0.0023640790453646333,8260,0.015550553798675537,22.843095452040433,0.004467183,0.035341796875,0.5937628746032715,-0.6723382990062237,0.2,5.220000000000001e-05
828,6013.68,1031.0504940700002,266143,8478720,31,-0.002578801255876897,8270,0.0030282139778137207,45.26761881917715,0.0038254845,0.0174609375,2.6772217750549316,-0.6671574614942074,0.2,5.190000000000001e-05
829,6011.53,1030.9048511000003,266305,8488960,31,-0.002362626866379287,8280,0.009755373001098633,44.86998801678419,0.0034311854,0.019404296875,19.015338897705078,-0.6311559212207795,0.2,5.160000000000001e-05
830,6010.56,1030.78334657,266443,8499200,31,-0.0018159138472401536,8290,0.001615285873413086,45.331502280533314,0.0030054965,0.019296875,11.133382797241211,-0.6445316551625728,0.2,5.130000000000001e-05
831,6009.75,1030.5778704900001,267449,8509440,31,-0.0028650128096342087,8300,0.02665930986404419,23.262556300014257,0.004161979,0.04359375,1.1820833683013916,-0.6657506723701954,0.2,5.1000000000000006e-05
832,6012.14,1030.3292161,267611,8519680,31,-0.002771101726684719,8310,0.006485939025878906,44.47299398511648,0.0035286143,0.018701171875,14.554800987243652,-0.6610089507699013,0.2,5.0700000000000006e-05
833,6012.71,1030.2479254299997,267752,8529920,31,-0.0025503798900172116,8320,0.008381485939025879,44.72441258430481,0.005101184,0.02390625,61.22901153564453,-0.6450652426481247,0.2,5.0400000000000005e-05
834,6010.21,1030.1971407400001,267910,8540160,31,-0.00202766852802597,8330,0.0069422125816345215,22.10253089144826,0.004079773,0.02373046875,0.593339204788208,-0.6394174592196942,0.2,5.0100000000000005e-05
835,6008.46,1030.12522953,268070,8550400,31,-0.002585436446534004,8340,0.004477441310882568,45.25298620790243,0.003645217,0.01966796875,3.4584755897521973,-0.6449293556809426,0.2,4.9800000000000004e-05
836,6007.5,1030.3305630799998,269067,8560640,31,-0.0020136417118192186,8350,0.0036803483963012695,44.77057208836079,0.0035547386,0.0117578125,39.98715591430664,-0.6562023766338825,0.2,4.9500000000000004e-05
837,6009.12,1030.37250296,269208,8570880,31,-0.00283312826679321,8360,0.005127668380737305,45.10546129822731,0.003090707,0.01546875,1.0983353853225708,-0.6546061404049397,0.2,4.92e-05
838,6008.24,1030.13180834,269368,8581120,31,-0.002891985706810374,8370,-0.00036215782165527344,23.4454749751091,0.005370221,0.038515625,0.7669028639793396,-0.6421288423240185,0.2,4.89e-05
839,6006.64,1030.32744728,269532,8591360,31,-0.0015894713236775716,8380,0.0037692785263061523,44.500089296400546,0.0030819748,0.017626953125,4.19913911819458,-0.6376705534756184,0.2,4.86e-05
840,6002.87,1030.3895118399998,269673,8601600,31,-0.0022111940701142886,8390,0.01289820671081543,44.11611887663603,0.0040080687,0.018759765625,2.3532025814056396,-0.6573209515213967,0.2,4.830000000000001e-05
841,6004.6,1030.5911297100001,270684,8611840,31,-0.0019176173233427108,8400,0.021695435047149658,22.939147356003524,0.00510032,0.033154296875,0.6386514902114868,-0.6506429325044155,0.2,4.800000000000001e-05
842,6001.73,1030.6514101999999,270844,8622080,31,-0.0031053740973584353,8410,0.008751451969146729,44.79202354773879,0.003924258,0.026435546875,14.81860065460205,-0.6520604163408279,0.2,4.770000000000001e-05
843,6001.24,1030.59544655,271012,8632320,31,-0.0013901782064931467,8420,0.002833425998687744,44.684423711150885,0.0029015162,0.007763671875,0.794089138507843,-0.6475403198599815,0.2,4.740000000000001e-05
844,6002.82,1030.45364594,271148,8642560,31,-0.0029060211597243322,8430,0.008613169193267822,44.76739048063755,0.004203626,0.021494140625,3.0617449283599854,-0.62008434176445,0.2,4.7100000000000006e-05
845,6001.68,1030.53201976,271310,8652800,31,-0.00254433297784999,8440,0.015445709228515625,22.91575563326478,0.0040187794,0.027431640625,28.382028579711914,-0.5984441658854485,0.2,4.6800000000000006e-05
846,5998.62,1030.70222659,272333,8663040,31,-0.0015525618533138185,8450,0.007649242877960205,44.7442521879077,0.0029473666,0.0115234375,8.321070671081543,-0.6397548860311508,0.2,4.6500000000000005e-05
847,5997.97,1030.67685982,272474,8673280,31,-0.0023054085855255834,8460,0.006609439849853516,44.6633543074131,0.0034120963,0.018271484375,33.15882110595703,-0.6626947727799416,0.2,4.6200000000000005e-05
848,5994.36,1030.61032823,272633,8683520,31,-0.0027481142271426505,8470,0.011294245719909668,22.728192144185304,0.005053283,0.0375,26.633241653442383,-0.6384246745705604,0.2,4.5900000000000004e-05
849,6000.08,1030.75079875,272798,8693760,31,-0.002606284283392597,8480,0.013153433799743652,45.10830097824335,0.0039572055,0.021826171875,46.404327392578125,-0.6057971246540547,0.2,4.5600000000000004e-05
850,6003.22,1030.54012686,272940,8704000,31,-0.0022039648905047217,8490,0.007723808288574219,44.90986200362444,0.0037709647,0.01474609375,7.60691499710083,-0.6056622226536273,0.2,4.53e-05
851,6002.44,1030.62431389,273955,8714240,31,-0.003623276786529459,8500,0.021464228630065918,23.15787071555853,0.005272098,0.043974609375,0.9939723610877991,-0.59286736369133,0.2,4.5e-05
852,5999.53,1030.5254049900002,274118,8724480,31,-0.002125271876284387,8510,0.007860660552978516,44.776514775156976,0.0032109637,0.022041015625,15.884055137634277,-0.5876096633076667,0.2,4.47e-05
853,5995.77,1030.74960416,274284,8734720,31,-0.0014563647455361206,8520,0.009953737258911133,44.845439123809335,0.0031796421,0.0168359375,29.121992111206055,-0.6024965699017047,0.2,4.44e-05
854,5991.16,1030.90615318,274421,8744960,31,-0.0015959871408995241,8530,0.014282464981079102,44.72227971196175,0.0019670243,0.007919921875,3.2830705642700195,-0.6026087272167205,0.2,4.41e-05
855,5995.95,1030.50888588,274581,8755200,31,-0.0015642291345284321,8540,-0.005240678787231445,22.605356256067754,0.0033799906,0.01630859375,0.5179874300956726,-0.582673926949501,0.2,4.38e-05
856,5994.67,1030.35633563,275596,8765440,31,-0.002583089727413608,8550,0.007407665252685547,45.70951996415854,0.0038132682,0.02501953125,14.720172882080078,-0.601638308018446,0.2,4.35e-05
857,5993.18,1030.42181595,275738,8775680,31,-0.0019121785362949595,8560,0.011391103267669678,44.12869024783373,0.0037577949,0.03376953125,4.252480506896973,-0.6045255181193352,0.2,4.32e-05
858,5989.54,1030.6507185900002,275897,8785920,31,-0.0020162804826395586,8570,0.016515374183654785,22.87699886009097,0.0033380114,0.025830078125,23.814865112304688,-0.5865342916548252,0.2,4.29e-05
859,5989.27,1030.5323124399997,276058,8796160,31,-0.0016910842873039656,8580,0.0028940439224243164,44.77493579238653,0.0038948855,0.025478515625,20.30905532836914,-0.5593982226401567,0.2,4.26e-05
860,5987.87,1030.68666331,276224,8806400,31,-0.0011498556143487804,8590,0.009840965270996094,44.31043167680502,0.0024482673,0.007080078125,35.80363464355469,-0.5698261286318302,0.2,4.23e-05
861,5988.75,1030.60578857,277224,8816640,31,-0.0018515387256047688,8600,0.0008178949356079102,45.55739509761334,0.0022148837,0.00728515625,0.7181586623191833,-0.5861175560951233,0.2,4.2e-05
862,5987.83,1030.6658646500002,277382,8826880,31,-0.0030898839043220507,8610,0.01286989450454712,22.99307601481676,0.0034371042,0.020302734375,13.337640762329102,-0.5849723912775516,0.2,4.17e-05
863,5985.06,1030.87541608,277545,8837120,31,-0.0020045298215700313,8620,0.005329132080078125,44.85475019454956,0.0033876405,0.02287109375,15.476259231567383,-0.5737319783121347,0.2,4.14e-05
864,5984.97,1030.9224678,277692,8847360,31,-0.0013497921131784096,8630,0.004146158695220947,44.02618540272117,0.0021671683,0.002880859375,0.7210682034492493,-0.5818236629664898,0.2,4.11e-05
865,5983.85,1031.0874924,277849,8857600,31,-0.0018867814441910014,8640,0.013192236423492432,23.167647448182105,0.0021839656,0.013349609375,51.18454360961914,-0.5751650749146938,0.2,4.08e-05
866,5980.36,1031.31259531,278880,8867840,31,-0.0026914202800253405,8650,0.002910614013671875,45.35700639724732,0.003647256,0.021240234375,2.8789727687835693,-0.5637902777642012,0.2,4.05e-05
867,5981.1,1031.27480144,279045,8878080,31,-0.0021824268018826843,8660,0.002752542495727539,46.04355756163597,0.0033072338,0.01306640625,1.0802198648452759,-0.6086521868407726,0.2,4.02e-05
868,5981.53,1031.2858177800001,279188,8888320,31,-0.0022784405626589434,8670,0.0027039051055908203,45.85484504491091,0.0037130113,0.02142578125,1.492079257965088,-0.5756098186969757,0.2,3.99e-05
869,5977.39,1031.6034757000002,279344,8898560,31,-0.001846721095207613,8680,0.014070570468902588,23.41724640697241,0.003199181,0.021005859375,29.510942459106445,-0.5756079487502574,0.2,3.96e-05
870,5977.35,1031.56794747,279507,8908800,31,-0.002253020307398401,8690,-0.0027098655700683594,44.97418606758118,0.0023020792,0.011884765625,2.9983508586883545,-0.5965780155360698,0.2,3.93e-05
871,5981.1,1031.34917875,280526,8919040,31,-0.002603858703223523,8700,0.011389017105102539,45.10181404739618,0.00493374,0.03259765625,5.2753586769104,-0.5720791703462601,0.2,3.9e-05
872,5984.84,1031.2903569,280665,8929280,31,-0.002219242704741191,8710,0.016985714435577393,45.37447307050228,0.0032212224,0.020322265625,14.43509292602539,-0.5757953884452581,0.2,3.87e-05
873,5987.09,1031.1935755099998,280825,8939520,31,-0.0024149998114444318,8720,0.014419257640838623,23.345779392421246,0.0035603172,0.014873046875,0.556624174118042,-0.5773897086083889,0.2,3.84e-05
874,5985.34,1031.30613327,280988,8949760,31,-0.002057934476179071,8730,0.004467308521270752,44.43159849703312,0.0029935476,0.00650390625,28.125703811645508,-0.6044525815546513,0.2,3.81e-05
875,5987.12,1031.44226461,281125,8960000,31,-0.002372137374768499,8740,0.011961519718170166,44.92479325056076,0.003267028,0.02177734375,12.133018493652344,-0.581922502964735,0.2,3.78e-05
876,5988.76,1031.5451107,282147,8970240,31,-0.001799322108126944,8750,-0.0032960176467895508,22.493961968123912,0.0029043634,0.009677734375,2.3134498596191406,-0.6106772834062576,0.2,3.75e-05
877,5990.91,1031.42491456,282311,8980480,31,-0.0025520084460731595,8760,0.0070517659187316895,44.84485483407974,0.0032157272,0.015859375,14.386271476745605,-0.6082227392494679,0.2,3.7199999999999996e-05
878,5991.49,1031.4169189200002,282452,8990720,31,-0.0012665293851750904,8770,-0.0022791624069213867,45.608657551407816,0.0013115166,0.001416015625,16.507747650146484,-0.5802769680321217,0.2,3.6899999999999996e-05
879,5989.62,1031.6026341200002,282607,9000960,31,-0.0022119795775506646,8780,0.004404664039611816,23.29522092178464,0.002897989,0.0157421875,0.5873079895973206,-0.5973325364291668,0.2,3.6599999999999995e-05
