#{"t_start": 1776093006.9713504, "env_id": "None"}
r,l,t
1028.465257,6132,90850.560397
1032.377156,5892,90928.68347
1025.411685,5996,91008.754493
1022.42859,5983,91828.408288
1021.128429,6127,91908.14363
1029.636164,5968,91988.379983
1028.573348,6047,92067.789095
1030.768052,5993,92146.074024
1031.213321,6002,92224.956158
1034.490012,5937,92302.45053
1017.016199,5885,92380.869144
1023.444061,6143,92460.832642
1012.057733,6256,92541.777775
1021.721426,6013,93336.79259
1008.532143,6238,93419.257788
1037.28566,6051,93499.195862
1028.169185,6027,93580.413152
1027.365352,5980,93660.742911
1029.60129,5912,93738.463298
1027.052148,6105,93819.306744
1011.668157,6271,93901.648186
1036.409998,5787,93979.357998
1037.242211,5918,94059.694109
1024.280052,6201,94878.433883
1021.051259,6084,94958.537213
1031.323555,6031,95040.212772
1020.040839,6064,95120.363383
1027.868899,6041,95199.195756
1033.901018,6075,95279.287805
1014.840764,6085,95358.522004
1024.245885,6122,95438.014946
1027.247176,6105,95517.71586
1031.433922,6004,95596.7399
1028.610624,5976,96401.419231
1026.6072,5923,96482.907637
1022.24321,5974,96562.600049
1021.149804,6112,96643.336395
1015.848456,6243,96724.917331
1018.57452,5932,96802.393186
1018.298412,6152,96885.381347
1020.887017,6030,96965.08697
1023.895094,6018,97043.976081
1037.744445,5993,97124.869866
1036.44197,5865,97936.451944
1012.145598,6020,98016.169006
1038.720931,5881,98093.995677
1036.28682,5924,98171.51641
1012.248886,6113,98251.594623
1025.444757,6288,98333.236109
1020.402464,6174,98414.945965
1040.987478,5890,98491.353185
1035.803453,5930,98570.281813
1033.477575,5839,98650.338934
1036.220985,6103,99464.416503
1029.876452,5923,99544.521905
1041.61729,5770,99621.497192
1029.090122,6093,99703.0432
1025.636316,6119,99784.861054
1036.959437,5933,99862.607256
1036.944968,6048,99943.454355
1041.905377,5730,100020.048976
1017.411789,6133,100101.856357
1022.571494,6056,100182.336718
1034.036948,5987,100973.174229
1023.601631,6077,101052.678865
1024.661552,5993,101132.53462
1026.579379,6054,101211.799155
1026.748291,6007,101291.791657
1021.007854,6252,101373.050022
1037.93941,5868,101449.663573
1028.671604,6182,101532.149045
1038.580951,5881,101611.44233
1013.886926,6149,101693.716543
1031.421861,6050,102513.900137
1021.832425,6164,102594.280745
1032.576256,5918,102673.677746
1040.878371,5823,102751.040379
1039.386064,5984,102830.877143
1036.945903,5805,102908.546464
1017.559826,6028,102989.503557
1007.202538,6042,103070.609247
1032.135494,5967,103148.613724
1023.918239,6130,103230.424138
1037.383491,5910,104022.324419
1030.307594,5945,104100.820565
1029.293741,5937,104178.464808
1040.20489,5798,104255.776862
1028.078698,6025,104334.240547
1022.438611,6149,104415.000032
1034.185455,5868,104492.761072
1018.979787,6226,104576.282628
1027.883498,6047,104656.526228
1034.80845,5933,104734.675589
1036.394141,6034,105556.717144
1031.023272,5850,105635.825722
1020.284682,6090,105717.09034
1027.223884,6129,105799.466732
1030.232402,6018,105879.356073
1018.405059,6238,105961.946987
1031.73359,5925,106040.18105
1013.147406,6044,106119.868666
1030.644877,6122,106200.499615
1027.891061,5978,106280.23603
1029.009193,5658,107070.901516
1020.811281,6004,107150.906056
1020.336868,5977,107229.140152
1036.111328,5905,107308.281465
1027.758337,5958,107387.379729
1036.666559,5992,107466.068635
1026.919664,6156,107548.612857
1029.767371,6065,107629.082956
1022.996928,6105,107710.138447
1033.368608,5970,107793.160193
1040.973136,5865,108612.316041
1022.763503,6019,108693.880275
1028.709909,5919,108773.939418
1030.502387,5918,108854.722787
1030.522318,6028,108934.135236
1032.600709,6140,109015.121156
1035.064441,5822,109093.595635
1048.852185,5728,109170.424344
1028.394796,5844,109250.757706
1028.469342,5989,109330.996197
1008.465493,6260,110132.484362
1021.506574,6146,110213.067311
1022.415363,6184,110294.857607
1033.742134,5915,110372.369383
1027.54429,6055,110453.618213
1035.797674,5857,110532.051689
1014.887617,6092,110614.024167
1015.784146,6153,110695.24517
1033.12374,5827,110773.278796
1019.230313,6065,110853.949957
1029.36347,6131,111673.372065
1030.425003,5771,111751.079396
1027.318904,5913,111828.632791
1012.862815,6131,111909.234984
1046.198184,5802,111987.478118
1030.279882,5998,112067.216954
1033.558746,6036,112146.50471
1032.883393,5935,112224.747666
1025.926612,6164,112304.24703
1033.73822,5945,112383.57706
1019.83798,5901,113177.279374
1033.444586,6023,113257.225185
1025.811549,6202,113338.609654
1022.622839,6154,113420.450723
1021.586027,5996,113498.275864
1017.915611,6139,113580.744694
1046.630439,5896,113657.838857
1025.435576,5905,113736.718073
1027.575826,6014,113817.064992
1027.448663,6046,113897.008522
1025.785966,5972,114704.869332
1027.74027,6036,114783.324885
1018.611859,6076,114864.836845
1023.821976,6054,114944.792592
1033.317987,5800,115024.120327
1021.212352,6067,115103.855325
1026.089118,6022,115183.360494
1029.193563,5944,115263.577064
1029.611721,5903,115341.539224
1025.288331,5943,115419.786195
1029.564762,5970,116212.805758
1045.711625,5807,116290.106701
1026.478924,5853,116367.71729
1032.057489,5974,116446.339858
1010.987177,6129,116528.678581
1020.984352,5777,116603.631072
1013.976235,6249,116684.425097
1022.026216,6020,116762.114275
1031.285202,5976,116841.024899
1011.935757,6101,116920.535237
1028.470044,5931,117716.947873
1027.678618,6138,117796.521542
1032.57715,5972,117874.944675
1039.951358,5730,117951.179827
1008.294282,5996,118029.480002
1020.706577,6035,118109.520437
1026.939612,6076,118188.139251
1012.340127,6143,118268.205129
1026.751123,5869,118345.232649
1032.80957,5943,118423.080904
1020.562308,5988,119207.437925
1034.310224,5820,119284.522573
1031.056713,5968,119363.016986
1028.861065,5815,119439.739282
1020.304933,6094,119520.551143
1021.56828,6127,119600.63479
1029.839071,5976,119680.388474
1031.57867,5955,119760.14204
1019.476051,6102,119840.362861
1027.182394,5757,119919.124244
1028.270084,5965,120724.205805
1019.00155,6210,120806.387615
1027.549309,5954,120884.407982
1027.385545,5976,120963.346722
1021.833698,5995,121041.684381
1033.939313,6142,121121.974165
1035.603737,5802,121199.27885
1016.86917,6126,121279.601327
1027.326659,5979,121360.615433
1028.044217,5964,121440.431901
1025.230525,6211,122259.335595
1034.375796,5836,122337.85736
1019.281659,6086,122418.291308
1028.436093,5954,122497.740309
1025.533038,6059,122578.340215
1017.175408,6052,122657.13571
1026.555861,5982,122737.390536
1035.73357,5832,122814.637135
1020.890059,6151,122897.245324
1029.539523,5880,122974.751924
1021.78734,6074,123767.963552
1028.077318,5972,123849.068096
1029.999236,5966,123929.037157
1036.17151,5785,124007.358143
1028.668018,6149,124092.03439
1032.863284,5923,124170.660453
1034.904101,5658,124247.766074
1034.841496,6126,124329.630382
1015.253669,6045,124417.485565
1032.446181,5931,124505.052456
1026.885587,6084,125400.975778
1038.072368,5778,125479.892954
1020.512456,6040,125559.533067
1024.560042,6115,125640.040501
1022.804093,6127,125721.004453
1023.181278,5976,125800.626511
1022.759458,5914,125881.783303
1016.570895,6081,125963.98555
1040.305718,5847,126042.80299
1033.466482,5962,126123.534409
1038.185563,5965,126922.614809
1012.98651,6083,127004.158117
1026.581901,6070,127085.210072
1017.773502,6095,127166.184722
1037.106869,5930,127245.176968
1027.699539,5985,127324.647882
1014.807151,6105,127406.765233
1032.065184,5907,127485.181249
1041.273326,5844,127562.917893
1031.875126,6167,127645.98428
1034.722917,6019,128448.187836
1028.362624,6098,128529.739498
1033.350738,5980,128610.009439
1040.629678,5977,128690.040292
1027.951787,6110,128770.535495
1040.572208,5856,128850.032168
1023.062317,5858,128929.86228
1031.385419,6058,129009.196781
1038.512361,5871,129090.504032
1007.117614,6323,129173.709394
1031.108698,5810,129985.135645
1025.574409,5988,130064.809897
1046.68246,5799,130141.711738
1041.233081,5874,130222.284155
1030.033482,6000,130303.64251
1036.473519,5837,130383.161532
1012.867886,5936,130461.635537
1026.223246,6294,130542.438365
1014.954211,5881,130621.164092
1028.970982,5966,130698.962827
1024.952848,5961,131520.459182
1022.3736,6044,131599.406483
1043.398077,5696,131673.65223
1044.279377,5869,131752.82952
1039.193073,5826,131830.06437
1027.840721,6109,131912.763868
1038.330466,5928,131992.666705
1012.9795,6273,132073.83351
1026.82754,6062,132155.770977
1033.062187,5952,132234.270928
1012.055245,6222,133033.003017
1028.458983,5979,133113.315066
1034.085311,5829,133191.461987
1016.035034,6049,133270.825287
1038.386976,5943,133351.4931
1037.788871,5960,133430.80713
1032.801331,6073,133512.329591
1025.698251,6085,133593.108618
1024.44427,6174,133675.170269
1030.799725,5809,133753.909884
1028.432598,6027,134574.961148
1037.165134,5899,134660.25523
1024.896253,6018,134740.398085
1033.547917,6018,134823.389421
1025.10677,6074,134904.577105
1030.428514,6098,134984.800807
1020.370997,6087,135066.132114
1024.312556,6099,135146.969668
1032.237149,5889,135225.996057
1015.25259,6301,135308.737542
1019.900504,6075,136098.802759
1039.662933,5886,136177.67183
1025.31224,6041,136259.404347
1030.683426,5828,136337.5066
1029.762666,6157,136419.707484
1033.525062,6023,136499.740087
1021.433907,5989,136577.888951
1037.09764,5913,136657.25825
1018.868417,6214,136739.099499
1008.75826,6119,136819.603259
1026.735965,6070,137640.452074
1019.541171,6185,137720.439265
1033.942525,5915,137801.020752
1038.399085,5893,137879.443994
1031.653941,5822,137959.450854
1027.197396,5889,138038.265965
1027.97756,5860,138117.573358
1036.300699,5752,138197.555187
1035.584577,5843,138278.93176
1033.113441,5860,138358.316582
1033.877671,5944,139182.997007
1020.283048,5859,139261.746726
1017.135518,5921,139341.895759
1036.123932,6000,139421.667253
1026.420573,6172,139506.130291
1037.199523,6191,139589.728933
1038.569451,5783,139669.371364
1025.069937,6128,139752.031651
1037.183789,6018,139833.711859
1042.003207,5917,139915.405002
1029.034126,6050,140733.339047
1044.181047,5919,140815.108226
1028.54006,5834,140895.299385
1026.917649,5926,140976.769769
1036.221757,5824,141055.537948
1033.6775,6130,141139.649847
1036.036701,5941,141220.838637
1035.658853,5925,141302.633709
1019.444236,6286,141386.700628
1033.277511,5929,141465.321217
1035.370655,6064,142313.223423
1023.494659,6058,142395.786352
1029.613806,5990,142478.076499
1026.377661,6021,142560.09407
1021.212346,6285,142645.843252
1031.841681,5987,142726.164089
1018.894843,6215,142809.6669
1046.453798,5827,142889.912069
1038.08093,6020,142970.926234
1030.371887,5932,143052.99809
1026.802375,6017,143859.641177
1016.585562,6068,143942.080109
1011.140644,6119,144023.686284
1031.788004,5887,144104.070503
1029.453847,6304,144187.322012
1022.383533,5956,144268.768149
1015.049173,6022,144349.387895
1028.643568,5998,144428.774608
1027.641564,5876,144508.439049
1027.348023,5993,144587.6419
1031.29094,5965,145416.628551
1024.887998,5987,145497.450305
1029.868678,5947,145576.532111
1025.609733,5889,145657.172228
1025.592574,5998,145737.624651
1043.279887,5833,145816.711064
1027.881813,5911,145895.949597
1012.71037,5959,145975.050672
1021.907096,6083,146058.222457
1022.042897,6003,146139.194077
1023.451658,6194,146944.858112
1024.660989,6007,147026.652219
1027.324165,6085,147108.327645
1028.378774,6124,147191.004591
1029.868133,6024,147271.478868
1022.983917,5938,147350.735384
1019.161173,6183,147432.887644
1042.939706,5805,147512.249615
1029.36127,6089,147595.119179
1019.647882,6093,147677.227569
1032.992085,5986,148498.492484
1043.029108,5750,148576.937563
1025.075487,5938,148657.01354
1020.227256,6022,148738.965768
1030.909593,6081,148821.72458
1018.731091,6104,148901.206278
1033.448835,5971,148982.695661
1032.527086,5928,149065.489478
1033.320718,5906,149146.459396
1026.537936,6096,149229.40491
1009.45475,6303,150039.250769
1024.303293,5930,150118.301347
1024.306729,6042,150199.870866
1025.17211,6079,150281.03763
1024.309053,5977,150361.213212
1042.897941,5642,150438.547753
1030.700948,5985,150518.497741
1026.173349,5950,150599.495938
1029.720213,6041,150679.639791
1028.859737,6076,150762.313484
1031.754938,5841,151585.480372
1017.956261,6017,151665.615996
1018.920582,6167,151747.9446
1028.644797,5871,151825.871515
1022.149415,6004,151907.732637
1008.651339,6185,151992.045599
1029.157382,5775,152071.097027
1010.068296,6144,152153.468153
1036.024186,5777,152232.611815
1036.032976,5742,152312.502132
1022.469152,5889,153119.147249
1024.566901,6031,153200.042048
1017.884872,6001,153279.281884
1019.99885,6134,153362.090293
1032.288824,5911,153442.108942
1034.623504,5821,153522.509605
1023.998491,6004,153602.455956
1015.977408,6084,153685.55103
1033.130159,5835,153764.321814
1014.433851,6056,153846.330962
1022.853336,5792,154673.31524
1038.583915,6041,154753.950304
1039.99107,5760,154832.89019
1030.962169,5913,154913.880143
1032.804253,5947,154994.518905
1030.258458,5800,155074.376676
1032.933831,5889,155156.321943
1020.337161,6124,155240.626975
1021.228979,5993,155323.202645
1026.422541,5867,155403.639601
1014.907641,6152,156219.984085
1016.53619,6201,156304.447813
1034.4532,5873,156385.130407
1026.081905,5908,156467.13517
1032.993721,6057,156549.036572
1019.540696,5865,156628.076601
1023.800817,6003,156709.89847
1035.738547,5811,156789.42474
1026.309865,5811,156869.837161
1022.488051,5901,156951.29993
1029.327292,5868,157777.338806
1034.332867,5732,157858.103993
1029.488081,6109,157941.180272
1019.307754,6134,158024.574236
1028.171063,6147,158106.535913
1028.737289,6047,158189.264982
1030.651516,6052,158270.987443
1023.261712,5926,158352.729807
1028.234832,5869,158433.839818
1023.812008,5986,158514.519462
1032.301496,5886,159325.51951
1018.203272,6023,159407.132784
1007.317245,6233,159491.533292
1032.227667,6021,159572.778635
1027.09541,5891,159654.536758
1027.362487,6141,159738.221951
1028.323979,6122,159822.744673
1018.514854,6003,159902.529716
1025.285362,6076,159983.212637
1029.327963,6016,160064.828405
1017.343061,6190,160892.540428
1031.693962,6017,160974.51956
1030.348585,6228,161058.089752
1026.901298,5818,161136.827684
1024.131605,6028,161219.317381
1032.357622,5922,161300.941123
1024.787283,6178,161384.906818
1028.914484,5916,161464.905961
1021.601797,5958,161544.921527
1030.729108,6004,161625.764256
1030.644654,6137,162438.440253
1029.952515,5882,162518.383279
1025.458293,6045,162600.913976
1027.771704,5914,162680.901103
1043.246575,5691,162758.457587
1025.378316,5905,162846.059666
1011.615281,6087,162929.317149
1036.682149,5779,163010.371526
1036.053429,5822,163089.743951
1033.973516,6061,163172.661006
1022.493748,6037,164000.195789
1035.449449,5909,164081.166189
1024.532106,5987,164163.432731
1026.579673,6151,164246.929916
1027.472355,5835,164325.799308
1020.618062,6063,164408.35387
1040.166809,5836,164487.392346
1030.701924,6018,164569.797946
1030.3709,6103,164652.752786
1010.418986,6090,164736.042484
1042.979047,5902,165552.794317
1026.99866,6060,165635.406703
1031.62233,5696,165714.654875
1018.971619,5996,165796.825523
